"","ANALYSIS","STARTED","Duration"
"1","APCO010195",48.0633333332953,0.826944444444962
"2","ASHS111111",47.5391666666837,0.184722222271375
"3","BDEN010493",44.9502777778544,3.51388888887595
"4","CARN010711",21.9472222222248,26.5619444443728
"5","CHLN010507",44.6622222221922,8.21222222223878
"6","EXTM050905",143.315000000002,0.260000000009313
"7","FAME021103",141.558333333407,11.0530555554433
"8","FATS011299",28.5924999999697,93.5216666667257
"9","FLOD010195",48.0633333332953,0.832777777744923
"10","FRFA010493",25.3094444444869,34.6572222222458
"11","ICPM020611",100.604166666744,21.9691666665603
"12","ICPM050214",168.003333333414,78.3877777777961
"13","IODI010493",246.062777777785,1.25694444437977
"14","LACT020493",91.5616666667629,29.8930555555271
"15","MAAS_PREP",26.2325000001001,5.60999999998603
"16","MICP010406",56.039722222311,1.53499999997439
"17","MOIS011299",52.8077777777798,43.5027777777286
"18","NITR051210",27.3141666667652,122.79888888885
"19","PHAS010493",49.9075000000885,0.457777777744923
"20","PROT010201",53.5547222222085,21.815277777845
"21","PVAL050204",47.8850000000093,9.34138888888992
"22","SALT010493",26.0019444444333,6.56777777778916
"23","SCPT010195",49.8911111112102,0.460555555473547
"24","TAUR010607",26.9238888889086,30.0191666666069
"25","VIK1010507",43.0588888889761,55.6563888887758
"26","VITA120507",69.5044444445521,29.609444444417
"27","VITA120507",69.5044444445521,29.6097222220851
"28","VITB011208",46.4252777777729,54.3027777778916
"29","VITC030694",49.0608333333512,3.19916666659992
"30","VITD050115",117.922222222318,5.53638888878049
"31","VITE050507",69.6297222222202,29.5113888889318
"32","WFNO020314",47.0838888888247,1.34638888895279
"33","RELEASE",246.062777777785,2.38722222216893
