"ORIGINAL_SAMPLE","LOGIN_DATE","ANALYSIS","REPORTED_NAME","DATE_STARTED","RELEASED_ON","DATE_REVIEWED","STATUS","LAB","REPLICATE_COUNT"
"9182024","19/10/2016 03:51:20 PM","ASHS040493","Ash- Foods by TGA (Except Dried fruit, rice, sauces etc)","22/10/2016 10:06:18 AM","24/10/2016 12:26:28 PM","26/10/2016 05:35:53 PM","A","CHEMISTRY","1"
"9182024","19/10/2016 03:51:20 PM","DIET_PREP","Dietary Fibre -  Food (Enzymatic)","20/10/2016 01:44:23 PM","22/10/2016 07:57:53 AM","26/10/2016 05:35:53 PM","A","CHEMISTRY","1"
"9182024","19/10/2016 03:51:20 PM","DIET020393","Dietary Fibre -  Food (Enzymatic)","25/10/2016 10:39:54 AM","25/10/2016 10:41:17 AM","26/10/2016 05:35:53 PM","A","CHEMISTRY","1"
"9182024","19/10/2016 03:51:20 PM","ENER011201","Energy Value - Food","25/10/2016 11:20:56 AM","25/10/2016 01:02:47 PM","26/10/2016 05:35:53 PM","A","CHEMISTRY","1"
"9182024","19/10/2016 03:51:20 PM","FAME040505","FAME Profile, SMPT - Acidic Fat, Oils & Food (AOAC)","25/10/2016 03:48:13 PM","26/10/2016 04:50:46 PM","26/10/2016 05:35:53 PM","A","CHEMISTRY","1"
"9182024","19/10/2016 03:51:20 PM","FATS110399","Fat  - Food - Soxtec Method","21/10/2016 05:38:42 PM","24/10/2016 12:22:25 PM","26/10/2016 05:35:53 PM","A","CHEMISTRY","1"
"9182024","19/10/2016 03:51:20 PM","MAAS_PREP","Standard prep","24/10/2016 11:18:06 AM","24/10/2016 12:53:22 PM","26/10/2016 05:35:53 PM","A","CHEMISTRY","1"
"9182024","19/10/2016 03:51:20 PM","MICP010406","ICP - Na","24/10/2016 03:43:51 PM","25/10/2016 12:14:46 PM","26/10/2016 05:35:53 PM","A","CHEMISTRY","1"
"9182024","19/10/2016 03:51:20 PM","MOIS231299","Moisture - Meat Products","22/10/2016 01:33:29 PM","23/10/2016 04:20:27 PM","26/10/2016 05:35:53 PM","A","CHEMISTRY","1"
"9182024","19/10/2016 03:51:20 PM","PREPDTAILS","Sample Prep Details - Contains information of the preped sample","20/10/2016 11:52:40 AM","20/10/2016 11:52:41 AM","26/10/2016 05:35:53 PM","A","CHEMISTRY","1"
"9182024","19/10/2016 03:51:20 PM","PROT010201","Protein -  Dairy Products & Foods","20/10/2016 05:04:05 PM","24/10/2016 01:15:34 PM","26/10/2016 05:35:53 PM","A","CHEMISTRY","1"
"9182024","19/10/2016 03:51:20 PM","SUGA010493","Total Sugar -  Foods (HPLC)","21/10/2016 08:58:08 AM","24/10/2016 05:15:31 PM","26/10/2016 05:35:53 PM","A","CHEMISTRY","1"
"9182024","19/10/2016 03:51:20 PM","TCAR010793","Total Carbohydrate -  Foods","25/10/2016 11:20:56 AM","25/10/2016 01:05:02 PM","26/10/2016 05:35:53 PM","A","CHEMISTRY","1"
