"SAMPLE_NUMBER","LOGIN_DATE","ANALYSIS","ASSIGNED_OPERATOR","SAMPLING_POINT","REPORTED_NAME","REPORTED_UNITS","ENTRY"
"7477654","12/06/2015 08:30:15 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","32.779866471"
"7484034","15/06/2015 08:46:58 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","33.135095108"
"7489263","16/06/2015 01:43:50 PM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","33.385745532"
"7493701","17/06/2015 03:09:54 PM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","32.87715387"
"7505390","22/06/2015 08:31:58 AM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","33.849905083"
"7522463","26/06/2015 12:07:33 PM","CHOL020493","SYOUNG","IRM001A","Cholesterol","MG_P_100G","33.44531049"
"7541616","02/07/2015 02:39:56 PM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","32.92204832"
"7556645","08/07/2015 08:24:52 AM","CHOL020493","SYOUNG","IRM001A","Cholesterol","MG_P_100G","32.918957686"
"7564165","10/07/2015 08:31:28 AM","CHOL020493","SYOUNG","IRM001A","Cholesterol","MG_P_100G","31.004147117"
"7568599","12/07/2015 08:57:02 AM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","32.225105927"
"7578603","15/07/2015 02:16:35 PM","CHOL020493","MFLAVIN","IRM001A","Cholesterol","MG_P_100G","31.887120953"
"7584078","17/07/2015 08:26:21 AM","CHOL020493","SYOUNG","IRM001A","Cholesterol","MG_P_100G","32.098606152"
"7596739","22/07/2015 08:25:50 AM","CHOL020493","SYOUNG","IRM001A","Cholesterol","MG_P_100G","33.640575584"
"7600650","23/07/2015 09:01:00 AM","CHOL020493","SYOUNG","IRM001A","Cholesterol","MG_P_100G","33.291804396"
"7603955","24/07/2015 06:21:37 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","32.430217034"
"7614368","28/07/2015 06:27:47 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","34.223248678"
"7623614","30/07/2015 09:47:33 AM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","33.725376173"
"7633054","03/08/2015 06:28:19 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","32.901892965"
"7647992","07/08/2015 06:23:12 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","32.59889642"
"7656192","10/08/2015 08:57:23 AM","CHOL020493","SYOUNG","IRM001A","Cholesterol","MG_P_100G","31.914174512"
"7660945","11/08/2015 01:12:14 PM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","34.33730958"
"7671168","14/08/2015 06:29:39 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","33.471445795"
"7679124","17/08/2015 10:05:39 AM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","32.334711395"
"7683927","18/08/2015 01:54:47 PM","CHOL020493","SYOUNG","IRM001A","Cholesterol","MG_P_100G","32.06001126"
"7691512","20/08/2015 12:22:42 PM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","33.179578995"
"7703468","24/08/2015 01:30:07 PM","CHOL020493","MFLAVIN","IRM001A","Cholesterol","MG_P_100G","33.077411551"
"7726917","31/08/2015 02:19:49 PM","CHOL020493","MFLAVIN","IRM001A","Cholesterol","MG_P_100G","32.337948879"
"7735843","02/09/2015 03:33:42 PM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","33.119743877"
"7737673","03/09/2015 09:08:35 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","35.280579688"
"7747564","06/09/2015 09:01:38 AM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","35.377625625"
"7753169","08/09/2015 09:33:06 AM","CHOL020493","MFLAVIN","IRM001A","Cholesterol","MG_P_100G","35.644283083"
"7762134","10/09/2015 10:36:48 AM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","32.986644203"
"7767907","11/09/2015 03:04:33 PM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","33.635087576"
"7771079","13/09/2015 09:08:37 AM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","33.666583691"
"7778770","15/09/2015 01:49:04 PM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","35.226597941"
"7788527","17/09/2015 04:30:28 PM","CHOL020493","SYOUNG","IRM001A","Cholesterol","MG_P_100G","35.676748889"
"7800657","21/09/2015 03:07:12 PM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","31.460605666"
"7806069","23/09/2015 06:25:48 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","35.119483596"
