A,B,C,D,E
15.07,15.15,14.99,15.16,15.07
15.13,15.13,15.11,15.14,15.1
15.13,15.13,15.11,15.14,15.1
15.13,15.13,15.12,15.13,15.1
15.13,15.12,15.11,15.13,15.1
15.13,15.14,15.11,15.13,15.1
15.13,15.13,15.12,15.12,15.1
15.13,15.12,15.12,15.14,15.1
15.13,15.13,15.12,15.14,15.09
15.13,15.13,15.12,15.13,15.1
