A,B
2.297974734,3.34137739
2.36318408,3.935131093
2.401022921,3.392952353
3.821020602,3.761602345
0.411289179,5.775996873
3.67029999,3.949026068
3.940863725,3.516503696
3.402208764,6.022297432
5.668604651,6.146948942
3.400008831,3.652669438
3.350970018,0.821297083
4.093086265,3.256871854
1.577965859,1.731012351
0.688838189,3.484303858
3.855341105,3.468437221
3.67085489,0.189569936
3.79356635,3.578108482
3.608750855,3.504138053
3.784448819,3.397293289
3.653642109,3.183940809
